English,Korean,Example
account for,"설명하다, 차지하다",How do you account for the missing money?
break down,"고장 나다, 분해되다",The car broke down on the highway.
bring about,야기하다,Technology brought about huge changes.
carry out,수행하다,Scientists carried out the experiment.
come across,우연히 만나다,I came across an old letter.
come up with,떠올리다,She came up with a brilliant idea.
cope with,대처하다,It's hard to cope with stress.
count on,의지하다,You can count on me anytime.
deal with,다루다,Managers deal with conflicts daily.
depend on,의존하다,Children depend on their parents.
derive from,~에서 유래하다,Many words derive from Greek.
die out,멸종하다,Many species are dying out.
dispose of,처분하다,Please dispose of trash properly.
draw on,이용하다,Writers draw on personal experience.
engage in,참여하다,Students engage in various activities.
fall behind,뒤처지다,Don't fall behind in your studies.
figure out,알아내다,I can't figure out the answer.
focus on,집중하다,Let's focus on the main topic.
for the sake of,~을 위해,We work for the sake of our families.
get rid of,없애다,We need to get rid of clutter.
give in,굴복하다,Don't give in to peer pressure.
give rise to,야기하다,Poverty gives rise to crime.
hand in,제출하다,Please hand in your homework.
in addition to,~외에도,"In addition to English, she speaks French."
in spite of,~에도 불구하고,"In spite of the rain, we went out."
in terms of,~의 관점에서,Think in terms of long-term benefits.
keep up with,따라가다,It's hard to keep up with technology.
lead to,초래하다,Hard work leads to success.
let down,실망시키다,I won't let you down.
live up to,부응하다,He lives up to expectations.
look into,조사하다,Police will look into the matter.
look up to,존경하다,I look up to my grandfather.
make sense,말이 되다,Your explanation makes sense.
make up for,보상하다,I'll make up for my mistake.
on behalf of,~을 대신하여,I speak on behalf of the team.
owing to,~때문에,The game was canceled owing to rain.
pass away,돌아가시다,His grandfather passed away last year.
pay attention to,주의를 기울이다,Pay attention to details.
put off,미루다,Don't put off important tasks.
put up with,참다,I can't put up with this noise.
refer to,언급하다,Please refer to chapter 3.
result in,결과를 낳다,Smoking results in poor health.
rule out,배제하다,We can't rule out that possibility.
set aside,한쪽에 두다,Set aside time for reading.
show up,나타나다,He didn't show up to the meeting.
stand for,상징하다,What does this symbol stand for?
take advantage of,이용하다,Take advantage of the sale.
take into account,고려하다,Take all factors into account.
turn out,판명되다,It turned out to be a great day.
up to date,최신의,Keep your software up to date.
